deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Set 5","Sports","In basketball, what is the restricted-area arc under the basket commonly called?","The keyhole","The no-charge semicircle","The bonus ring","The rebound zone","The no-charge semicircle","A secondary defender inside the no-charge semicircle normally cannot draw a charging foul.","https://official.nba.com/rule-no-12-fouls-and-penalties/"
"Set 5","Sports","In rugby union, how many points is a drop goal worth?","One","Two","Three","Five","Three","A successful drop goal scores three points, the same as a penalty goal.","https://www.world.rugby/the-game/laws/law/8"
"Set 5","Sports","Which chess piece starts each game beside a rook?","Bishop","Knight","Queen","King","Knight","The back rank begins rook, knight, bishop from each outer edge.","https://handbook.fide.com/chapter/E012023"
"Set 5","Sports","From where must a legal shot put be released?","Behind the shoulder","Close to the neck or chin","Below the waist","With both hands overhead","Close to the neck or chin","The shot must begin close to the neck or chin and may not be dropped below that position during the putting action.","https://worldathletics.org/disciplines/throws/shot-put"
"Set 5","Food & kitchen","Caesar salad was created in which country?","Italy","Mexico","United States","France","Mexico","Restaurateur Caesar Cardini devised the salad in Tijuana, Mexico, in the 1920s.","https://www.britannica.com/topic/Caesar-salad"
"Set 5","Food & kitchen","German chocolate cake is named after what?","A German city","A chocolate maker's surname","The German royal family","A style of baking","A chocolate maker's surname","Samuel German developed the sweet baking chocolate that gave the American cake its name.","https://www.smithsonianmag.com/arts-culture/german-chocolate-cake-isnt-german-180961142/"
"Set 5","Food & kitchen","Traditional Japanese mochi is made chiefly from what?","Glutinous rice","Buckwheat flour","Soybean paste","Sweet potato","Glutinous rice","Mochi is prepared by steaming and pounding glutinous rice into an elastic paste.","https://www.britannica.com/topic/mochi"
"Set 5","Food & kitchen","Maple syrup is concentrated from which fluid collected from maple trees?","Sap","Resin","Nectar","Latex","Sap","Producers tap maple trees for sap and boil away water to concentrate it into syrup.","https://www.britannica.com/topic/maple-syrup"
"Set 5","Food & kitchen","What makes a traditional pound cake a ""pound"" cake?","Its baked weight","A pound of each main ingredient","A pound of flour only","Its sale price","A pound of each main ingredient","Early recipes used one pound each of flour, butter, sugar, and eggs.","https://www.britannica.com/topic/pound-cake"
"Set 5","Food & kitchen","The fruit now called a kiwifruit was once widely marketed as what?","Chinese gooseberry","New Zealand melon","Pacific fig","Fuzzy lime","Chinese gooseberry","New Zealand exporters replaced ""Chinese gooseberry"" with kiwifruit as overseas sales grew.","https://teara.govt.nz/en/kiwifruit"
"Set 5","Food & kitchen","Espresso is defined mainly by what?","A species of coffee bean","A dark roast level","A pressurized brewing method","A country of origin","A pressurized brewing method","Espresso forces hot water under pressure through finely ground coffee; no special espresso bean is required.","https://www.britannica.com/topic/espresso"
"Set 5","Food & kitchen","Cutting an onion releases an irritant that reaches which body part to trigger tears?","The eyes","The inner ears","The tongue","The fingertips","The eyes","Damaged onion cells release a volatile lachrymatory factor that reaches the eyes and stimulates tearing.","https://www.loc.gov/everyday-mysteries/chemistry/item/why-does-chopping-an-onion-make-you-cry/"
"Set 5","Food & kitchen","What does crystallization usually mean for a jar of pure honey?","It has spoiled","Sugar was secretly added","It has naturally formed glucose crystals","Water entered the jar","It has naturally formed glucose crystals","Crystallization is a normal physical change and does not mean the honey has gone bad.","https://honey.com/honey-at-home/learn-about-honey"
"Set 5","Science & nature","How can a dolphin sleep without completely stopping its breathing?","It sleeps underwater for hours","One brain hemisphere rests at a time","Its gills take over","Its heart controls breathing","One brain hemisphere rests at a time","Dolphins use unihemispheric sleep, resting one side of the brain while the other remains alert enough to surface and breathe.","https://oceanservice.noaa.gov/facts/dolphin_sleep.html"
"Set 5","Science & nature","What color is horseshoe-crab blood?","Red","Blue","Green","Clear","Blue","Copper-containing hemocyanin makes horseshoe-crab blood blue.","https://ocean.si.edu/ocean-life/invertebrates/horseshoe-crabs-living-fossils-and-medical-marvels"
"Set 5","Science & nature","Why can astronauts become slightly taller while in orbit?","Their bones grow","Their spinal discs expand","Their posture is measured differently","Their spacesuits pull upward","Their spinal discs expand","With gravity no longer compressing the spine, the discs between vertebrae can expand.","https://www.nasa.gov/humans-in-space/the-human-body-in-space/"
"Set 5","Science & nature","Which planet has an average density lower than liquid water?","Jupiter","Saturn","Uranus","Neptune","Saturn","Saturn's average density is about 0.69 grams per cubic centimetre, less than water's.","https://science.nasa.gov/saturn/facts/"
"Set 5","Science & nature","How many permanent teeth does a typical adult have, including wisdom teeth?","24","28","32","36","32","A complete adult dentition contains 32 permanent teeth when all four wisdom teeth are present.","https://www.nidcr.nih.gov/health-info/tooth-decay/more-info"
"Set 5","Science & nature","Under ultraviolet light, platypus fur can glow which color?","Blue-green","Bright red","Golden yellow","Pure white","Blue-green","Researchers found that platypus fur absorbs ultraviolet light and fluoresces blue-green.","https://www.fieldmuseum.org/blog/platypuses-glow-under-uv-light"
"Set 5","Science & nature","What is the largest single bone in the human body?","Tibia","Pelvis","Femur","Humerus","Femur","The thigh bone, or femur, is the body's longest and strongest single bone.","https://www.britannica.com/science/femur"
"Set 5","Science & nature","What keeps Apollo astronauts' footprints on the Moon from quickly eroding?","Frozen soil","A protective glassy crust","Almost no wind or liquid water","Static electricity","Almost no wind or liquid water","The Moon has no weather like Earth's, although micrometeorites will disturb the prints over very long periods.","https://science.nasa.gov/moon/moon-facts/"
"Set 5","Science & nature","Which frog can survive with much of its body frozen during winter?","Poison dart frog","Wood frog","Bullfrog","Glass frog","Wood frog","Wood frogs survive winter by allowing ice to form in much of the body while glucose helps protect their cells.","https://www.nps.gov/gaar/learn/nature/wood-frog-page-2.htm"
"Set 5","World & history","The town of Baarle is famous for a patchwork border between Belgium and which country?","France","Netherlands","Germany","Luxembourg","Netherlands","Belgian enclaves and Dutch counter-enclaves create an intricate border through Baarle.","https://www.britannica.com/place/Baarle-Hertog"
"Set 5","World & history","Which country's national anthem has no official lyrics?","Spain","Italy","Greece","Norway","Spain","Spain's Marcha Real is one of the few national anthems without official words.","https://www.lamoncloa.gob.es/espana/simbolosdelestado/Paginas/index.aspx"
"Set 5","World & history","Which city has hosted university teaching since before the Aztec Empire existed?","Oxford","Boston","Berlin","Madrid","Oxford","Teaching existed at Oxford by 1096; the Aztec Empire formed in the 15th century.","https://www.ox.ac.uk/about/organisation/history"
"Set 5","World & history","What is the southernmost national capital city?","Canberra","Wellington","Buenos Aires","Cape Town","Wellington","New Zealand's capital, Wellington, lies farther south than any other sovereign state capital.","https://www.britannica.com/place/Wellington-New-Zealand"
"Set 5","World & history","The Trans-Siberian Railway crosses how many time zones between Moscow and Vladivostok?","Five","Six","Eight","Eleven","Eight","The route stretches across eight time zones on its journey through Russia.","https://www.britannica.com/topic/Trans-Siberian-Railroad"
"Set 5","World & history","Angel Falls, the world's highest uninterrupted waterfall, is in which country?","Brazil","Venezuela","Peru","Colombia","Venezuela","Angel Falls drops from Auyan-tepui in southeastern Venezuela.","https://www.britannica.com/place/Angel-Falls"
"Set 5","World & history","Which country contains more ancient pyramids than Egypt?","Sudan","Mexico","Iraq","Ethiopia","Sudan","Sudan contains hundreds of Nubian pyramids, including major groups at Meroe.","https://www.britannica.com/place/pyramids-of-Meroe"
"Set 5","World & history","Mount Everest stands on the border between Nepal and which country?","India","Bhutan","China","Pakistan","China","The summit of Everest lies on the Nepal-China border, with Tibet on the northern side.","https://www.britannica.com/place/Mount-Everest"
"Set 5","World & history","The word ""salary"" is historically linked to the Latin word for what?","Silver","Salt","Service","Harvest","Salt","Salary comes through Latin salarium, a word derived from sal, meaning salt.","https://www.merriam-webster.com/dictionary/salary"
